# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.808471191406250000e+03 7.312582731246948242e-01 8.179812011718750000e+03 7.312582731246948242e-01 2.061778306961059570e+00
1.000000000000000000e+03 4.701392364501953125e+01 3.011771142482757568e-01 3.666261672973632812e+01 3.011771142482757568e-01 1.390026569366455078e+00
2.000000000000000000e+03 3.382234573364257812e+01 3.100570738315582275e-01 2.499412727355957031e+01 3.100570738315582275e-01 2.035888910293579102e+00
3.000000000000000000e+03 2.705880165100097656e+01 3.709266185760498047e-01 1.870524978637695312e+01 3.709266185760498047e-01 2.380575895309448242e+00
4.000000000000000000e+03 2.414332389831542969e+01 3.655029237270355225e-01 1.606914329528808594e+01 3.655029237270355225e-01 2.456683874130249023e+00
5.000000000000000000e+03 2.303319931030273438e+01 3.032132983207702637e-01 1.516316795349121094e+01 3.032132983207702637e-01 2.379355669021606445e+00
6.000000000000000000e+03 2.235294342041015625e+01 2.431103736162185669e-01 1.465480232238769531e+01 2.431103736162185669e-01 2.296455383300781250e+00
7.000000000000000000e+03 2.176785278320312500e+01 1.961192935705184937e-01 1.430022048950195312e+01 1.961192935705184937e-01 2.230416297912597656e+00
8.000000000000000000e+03 2.122519874572753906e+01 1.587860435247421265e-01 1.397524929046630859e+01 1.587860435247421265e-01 2.135401725769042969e+00
9.000000000000000000e+03 2.067926216125488281e+01 1.363040655851364136e-01 1.353499603271484375e+01 1.363040655851364136e-01 2.049769401550292969e+00
1.000000000000000000e+04 2.017636871337890625e+01 1.290522068738937378e-01 1.317871856689453125e+01 1.290522068738937378e-01 2.015971422195434570e+00
1.100000000000000000e+04 1.972902107238769531e+01 1.293997764587402344e-01 1.287306404113769531e+01 1.293997764587402344e-01 2.012439489364624023e+00
1.200000000000000000e+04 1.934251594543457031e+01 1.313822567462921143e-01 1.256138420104980469e+01 1.313822567462921143e-01 2.011048793792724609e+00
1.300000000000000000e+04 1.902691841125488281e+01 1.328856945037841797e-01 1.226515388488769531e+01 1.328856945037841797e-01 2.008839607238769531e+00
1.400000000000000000e+04 1.873233985900878906e+01 1.336447149515151978e-01 1.208958530426025391e+01 1.336447149515151978e-01 2.006408214569091797e+00
1.500000000000000000e+04 1.851483726501464844e+01 1.337483227252960205e-01 1.186862373352050781e+01 1.337483227252960205e-01 2.004352569580078125e+00
1.600000000000000000e+04 1.827260398864746094e+01 1.332357227802276611e-01 1.169309616088867188e+01 1.332357227802276611e-01 2.004711389541625977e+00
1.700000000000000000e+04 1.808076095581054688e+01 1.324000805616378784e-01 1.161524105072021484e+01 1.324000805616378784e-01 2.004312038421630859e+00
1.800000000000000000e+04 1.791105461120605469e+01 1.311834454536437988e-01 1.147912788391113281e+01 1.311834454536437988e-01 2.004510641098022461e+00
1.900000000000000000e+04 1.776022720336914062e+01 1.297431737184524536e-01 1.136239910125732422e+01 1.297431737184524536e-01 2.004380226135253906e+00
2.000000000000000000e+04 1.765694427490234375e+01 1.279070675373077393e-01 1.144143581390380859e+01 1.279070675373077393e-01 2.005947351455688477e+00
